pair_id,attr,left,right
22,confidence,0.77,0.77
22,websites,"[""http://fitnesstogether.com/jenks-riverside""]","[""http://www.fitnesstogether.com/jenks-riverside""]"
22,socials,,
22,emails,,
22,phones,"[""9183920540""]","[""9183920540""]"
22,brand,"{""names"":{}}","{""names"":{}}"
22,addresses,"[{""freeform"":""9708 Riverside Pkwy Ste D"",""locality"":""Tulsa"",""region"":""OK"",""country"":""US"",""postcode"":""74137""}]","[{""freeform"":""9708 Riverside Pkwy Ste D"",""locality"":""Tulsa"",""region"":""OK"",""country"":""US"",""postcode"":""74137""}]"
23,names,"{""primary"":""REI""}","{""primary"":""REI""}"
23,categories,"{""primary"":""t_shirt_store"",""alternate"":[""outdoor_gear"",""clothing_store"",""retail""]}","{""primary"":""outdoor_gear"",""alternate"":[""sporting_goods""]}"
23,confidence,0.77,0.9962614185921548
23,websites,"[""http://www.rei.com/stores/paramus.html?utm_source=bing&utm_medium=local&utm_campaign=localmaps&utm_content=140""]","[""https://www.rei.com/stores/paramus?y_source=1_MTQ1MzQxNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]"
23,socials,,"[""https://www.facebook.com/1639987059576614""]"
23,emails,,
23,phones,"[""2012261560""]","[""+12012261560""]"
23,brand,"{""names"":{}}","{""names"":{""primary"":""REI""}}"
23,addresses,"[{""freeform"":""2200 Bergen Town Ctr"",""locality"":""Paramus"",""region"":""NJ"",""country"":""US"",""postcode"":""07652""}]","[{""freeform"":""2200 Bergen Town Ctr"",""locality"":""Paramus"",""postcode"":""07652"",""region"":""NJ"",""country"":""US""}]"
24,names,"{""primary"":""Chipotle Mexican Grill""}","{""primary"":""Chipotle Mexican Grill""}"
24,categories,"{""primary"":""fast_food_restaurant"",""alternate"":[""mexican_restaurant"",""restaurant""]}","{""primary"":""mexican_restaurant"",""alternate"":[""eat_and_drink""]}"
24,confidence,0.77,0.9962614185921548
24,websites,"[""https://locations.chipotle.com/nv/north-las-vegas/6780-n-5th-st?utm_source=bing&utm_medium=yext&utm_campaign=yext_listings""]","[""https://locations.chipotle.com/nv/north-las-vegas/6780-n-5th-st?utm_source=extendednetwork&utm_medium=yext&utm_campaign=yext_listings""]"
24,socials,,"[""https://www.facebook.com/214538125086445""]"
24,emails,,
24,phones,"[""7253030086""]","[""+17253030086""]"
24,brand,"{""names"":{}}","{""names"":{""primary"":""Chipotle Mexican Grill""}}"
24,addresses,"[{""freeform"":""6780 N 5th St"",""locality"":""North Las Vegas"",""region"":""NV"",""country"":""US"",""postcode"":""89084""}]","[{""freeform"":""6780 N 5th St"",""locality"":""North Las Vegas"",""postcode"":""89084"",""region"":""NV"",""country"":""US""}]"
25,names,"{""primary"":""Garage""}","{""primary"":""Garage""}"
25,categories,"{""primary"":""designer_clothing"",""alternate"":[""clothing_store"",""retail""]}","{""primary"":""designer_clothing"",""alternate"":[""clothing_store"",""retail""]}"
25,confidence,0.77,0.77
25,websites,"[""https://www.garageclothing.com/ca""]","[""https://www.garageclothing.com/ca/stores""]"
25,socials,,
25,emails,,
25,phones,"[""9056311104""]","[""9056311104""]"
25,brand,"{""names"":{}}","{""names"":{}}"
25,addresses,"[{""freeform"":""900 Maple Avenue, #B29"",""locality"":""Burlington"",""region"":""ON"",""country"":""CA"",""postcode"":""L7S 2J8""}]","[{""freeform"":""900 Maple Ave, #B29"",""locality"":""Burlington"",""region"":""ON"",""country"":""CA"",""postcode"":""L7S 2J8""}]"
26,names,"{""primary"":""Charlottesville Voter Registration""}","{""primary"":""Charlottesville Voter Registration""}"
26,categories,"{""primary"":""registry_office""}","{""primary"":""public_service_and_government"",""alternate"":[""public_and_government_association"",""central_government_office""]}"
26,confidence,0.77,0.9872500778573653
26,websites,"[""https://www.charlottesville.gov/Directory.aspx?DID=69""]","[""http://www.charlottesville.gov/vote""]"
26,socials,,"[""https://www.facebook.com/1654641278168104""]"
26,emails,,
26,phones,"[""4349703250""]","[""+14349703250""]"
26,brand,"{""names"":{}}",
26,addresses,"[{""freeform"":""120 7th St NE Ste 122"",""locality"":""Charlottesville"",""region"":""VA"",""country"":""US"",""postcode"":""22902""}]","[{""freeform"":""120 7th St NE"",""locality"":""Charlottesville"",""postcode"":""22902-5392"",""region"":""VA"",""country"":""US""}]"
27,names,"{""primary"":""Waynesboro Chrysler Dodge Jeep Ram""}","{""primary"":""Waynesboro Chrysler Dodge Jeep Ram""}"
27,categories,"{""primary"":""auto_parts_and_supply_store"",""alternate"":[""used_car_dealer"",""automotive"",""retail""]}","{""primary"":""car_dealer"",""alternate"":[""automotive_dealer"",""automotive_repair""]}"
27,confidence,0.77,0.997898979043525
27,websites,"[""https://www.waynesborocdjr.com/""]","[""http://www.waynesborocdjr.com/""]"
27,socials,,"[""https://www.facebook.com/178499402801399""]"
27,emails,,
27,phones,"[""7063030945""]","[""+17063609400""]"
27,brand,"{""names"":{}}","{""names"":{""primary"":""Chrysler""}}"
27,addresses,"[{""freeform"":""480 US Highway 25 N"",""locality"":""Waynesboro"",""region"":""GA"",""country"":""US"",""postcode"":""30830""}]","[{""freeform"":""480 US Highway 25 N"",""locality"":""Waynesboro"",""postcode"":""30830-2738"",""region"":""GA"",""country"":""US""}]"
28,names,"{""primary"":""Viviane M Santos CNP""}","{""primary"":""Viviane M Santos CNP""}"
28,categories,"{""primary"":""health_consultant"",""alternate"":[""doctor"",""active_life"",""health_and_medical""]}","{""primary"":""health_consultant"",""alternate"":[""doctor"",""active_life""]}"
28,confidence,0.77,0.77
28,websites,"[""https://www.osfhealthcare.org/physicians/profile/3318/viviane-m-santos-cnp/""]","[""https://www.osfhealthcare.org/physicians/profile/3318/viviane-m-santos-cnp/""]"
28,socials,,
28,emails,,
28,phones,"[""3096835700""]","[""3096835700""]"
28,brand,"{""names"":{}}",
28,addresses,"[{""freeform"":""5111 N Glen Park Place Rd"",""locality"":""Peoria"",""region"":""IL"",""country"":""US"",""postcode"":""61614""}]","[{""freeform"":""5111 N Glen Park Place Rd"",""locality"":""Peoria"",""postcode"":""61614"",""region"":""IL"",""country"":""US""}]"
29,names,"{""primary"":""ARAL Tankstelle""}","{""primary"":""Aral""}"
29,categories,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""gas_station"",""alternate"":[""automotive"",""travel""]}"
29,confidence,0.77,0.9918379237288135
29,websites,"[""https://tankstelle.aral.de/tankstelle/28743000""]","[""http://www.aral.de/""]"
29,socials,,"[""https://www.facebook.com/214555258574811""]"
29,emails,,
29,phones,"[""03455126523""]","[""+493455126523""]"
29,brand,"{""names"":{}}",
29,addresses,"[{""freeform"":""Volkmannstr. 19"",""locality"":""Halle (Saale)"",""region"":""Saxony-Anhalt"",""country"":""DE"",""postcode"":""06112""}]","[{""freeform"":""Volkmannstraße 19"",""locality"":""Halle (Saale)"",""postcode"":""06112"",""country"":""DE""}]"
30,names,"{""primary"":""Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472""}","{""primary"":""Heartland Mortgage Inc - Bobbie Jo Haggard""}"
